,Date,Sunrise,Sunset,Daylength
112,04/23/2022,06:04:28 AM,07:24:07 PM,13h 19m 39s
113,04/24/2022,06:03:21 AM,07:24:54 PM,13h 21m 33s
114,04/25/2022,06:02:15 AM,07:25:40 PM,13h 23m 25s
115,04/26/2022,06:01:10 AM,07:26:26 PM,13h 25m 16s
116,04/27/2022,06:00:06 AM,07:27:12 PM,13h 27m 6s
117,04/28/2022,05:59:03 AM,07:27:59 PM,13h 28m 56s
118,04/29/2022,05:58:01 AM,07:28:45 PM,13h 30m 44s
119,04/30/2022,05:57:00 AM,07:29:31 PM,13h 32m 31s
120,05/01/2022,05:56:00 AM,07:30:18 PM,13h 34m 18s
121,05/02/2022,05:55:02 AM,07:31:04 PM,13h 36m 2s
122,05/03/2022,05:54:04 AM,07:31:50 PM,13h 37m 46s
123,05/04/2022,05:53:07 AM,07:32:37 PM,13h 39m 30s
124,05/05/2022,05:52:12 AM,07:33:23 PM,13h 41m 11s
125,05/06/2022,05:51:18 AM,07:34:09 PM,13h 42m 51s
126,05/07/2022,05:50:25 AM,07:34:55 PM,13h 44m 30s
127,05/08/2022,05:49:33 AM,07:35:41 PM,13h 46m 8s
128,05/09/2022,05:48:43 AM,07:36:27 PM,13h 47m 44s
129,05/10/2022,05:47:54 AM,07:37:12 PM,13h 49m 18s
130,05/11/2022,05:47:06 AM,07:37:58 PM,13h 50m 52s
131,05/12/2022,05:46:20 AM,07:38:43 PM,13h 52m 23s
132,05/13/2022,05:45:35 AM,07:39:28 PM,13h 53m 53s
133,05/14/2022,05:44:51 AM,07:40:13 PM,13h 55m 22s
134,05/15/2022,05:44:09 AM,07:40:57 PM,13h 56m 48s
135,05/16/2022,05:43:28 AM,07:41:42 PM,13h 58m 14s
136,05/17/2022,05:42:49 AM,07:42:26 PM,13h 59m 37s
137,05/18/2022,05:42:11 AM,07:43:09 PM,14h 0m 58s
138,05/19/2022,05:41:34 AM,07:43:52 PM,14h 2m 18s
139,05/20/2022,05:41:00 AM,07:44:35 PM,14h 3m 35s
140,05/21/2022,05:40:26 AM,07:45:17 PM,14h 4m 51s
141,05/22/2022,05:39:54 AM,07:45:59 PM,14h 6m 5s
142,05/23/2022,05:39:24 AM,07:46:40 PM,14h 7m 16s
143,05/24/2022,05:38:55 AM,07:47:21 PM,14h 8m 26s
144,05/25/2022,05:38:28 AM,07:48:01 PM,14h 9m 33s
145,05/26/2022,05:38:02 AM,07:48:41 PM,14h 10m 39s
146,05/27/2022,05:37:38 AM,07:49:20 PM,14h 11m 42s
147,05/28/2022,05:37:15 AM,07:49:58 PM,14h 12m 43s
148,05/29/2022,05:36:54 AM,07:50:36 PM,14h 13m 42s
149,05/30/2022,05:36:35 AM,07:51:13 PM,14h 14m 38s
150,05/31/2022,05:36:17 AM,07:51:49 PM,14h 15m 32s
151,06/01/2022,05:36:00 AM,07:52:24 PM,14h 16m 24s
152,06/02/2022,05:35:46 AM,07:52:58 PM,14h 17m 12s
153,06/03/2022,05:35:33 AM,07:53:32 PM,14h 17m 59s
154,06/04/2022,05:35:21 AM,07:54:04 PM,14h 18m 43s
155,06/05/2022,05:35:11 AM,07:54:36 PM,14h 19m 25s
156,06/06/2022,05:35:03 AM,07:55:07 PM,14h 20m 4s
157,06/07/2022,05:34:56 AM,07:55:36 PM,14h 20m 40s
158,06/08/2022,05:34:51 AM,07:56:05 PM,14h 21m 14s
159,06/09/2022,05:34:48 AM,07:56:32 PM,14h 21m 44s
160,06/10/2022,05:34:46 AM,07:56:59 PM,14h 22m 13s
161,06/11/2022,05:34:45 AM,07:57:24 PM,14h 22m 39s
162,06/12/2022,05:34:46 AM,07:57:48 PM,14h 23m 2s
163,06/13/2022,05:34:49 AM,07:58:10 PM,14h 23m 21s
164,06/14/2022,05:34:53 AM,07:58:32 PM,14h 23m 39s
165,06/15/2022,05:34:58 AM,07:58:52 PM,14h 23m 54s
166,06/16/2022,05:35:06 AM,07:59:11 PM,14h 24m 5s
167,06/17/2022,05:35:14 AM,07:59:29 PM,14h 24m 15s
168,06/18/2022,05:35:24 AM,07:59:45 PM,14h 24m 21s
169,06/19/2022,05:35:35 AM,08:00:00 PM,14h 24m 25s
170,06/20/2022,05:35:48 AM,08:00:13 PM,14h 24m 25s
171,06/21/2022,05:36:02 AM,08:00:25 PM,14h 24m 23s
172,06/22/2022,05:36:17 AM,08:00:36 PM,14h 24m 19s
173,06/23/2022,05:36:34 AM,08:00:45 PM,14h 24m 11s
174,06/24/2022,05:36:52 AM,08:00:52 PM,14h 24m 0s
175,06/25/2022,05:37:11 AM,08:00:58 PM,14h 23m 47s
176,06/26/2022,05:37:32 AM,08:01:03 PM,14h 23m 31s
177,06/27/2022,05:37:54 AM,08:01:06 PM,14h 23m 12s
178,06/28/2022,05:38:16 AM,08:01:07 PM,14h 22m 51s
179,06/29/2022,05:38:40 AM,08:01:07 PM,14h 22m 27s
180,06/30/2022,05:39:05 AM,08:01:05 PM,14h 22m 0s
181,07/01/2022,05:39:32 AM,08:01:02 PM,14h 21m 30s
182,07/02/2022,05:39:59 AM,08:00:57 PM,14h 20m 58s
183,07/03/2022,05:40:27 AM,08:00:50 PM,14h 20m 23s
184,07/04/2022,05:40:56 AM,08:00:42 PM,14h 19m 46s
185,07/05/2022,05:41:26 AM,08:00:32 PM,14h 19m 6s
186,07/06/2022,05:41:57 AM,08:00:21 PM,14h 18m 24s
187,07/07/2022,05:42:29 AM,08:00:08 PM,14h 17m 39s
188,07/08/2022,05:43:02 AM,07:59:53 PM,14h 16m 51s
189,07/09/2022,05:43:35 AM,07:59:36 PM,14h 16m 1s
190,07/10/2022,05:44:09 AM,07:59:18 PM,14h 15m 9s
191,07/11/2022,05:44:44 AM,07:58:59 PM,14h 14m 15s
192,07/12/2022,05:45:20 AM,07:58:37 PM,14h 13m 17s
193,07/13/2022,05:45:56 AM,07:58:14 PM,14h 12m 18s
194,07/14/2022,05:46:33 AM,07:57:50 PM,14h 11m 17s
195,07/15/2022,05:47:11 AM,07:57:24 PM,14h 10m 13s
196,07/16/2022,05:47:49 AM,07:56:56 PM,14h 9m 7s
197,07/17/2022,05:48:27 AM,07:56:27 PM,14h 8m 0s
198,07/18/2022,05:49:06 AM,07:55:56 PM,14h 6m 50s
199,07/19/2022,05:49:46 AM,07:55:23 PM,14h 5m 37s
200,07/20/2022,05:50:26 AM,07:54:49 PM,14h 4m 23s
201,07/21/2022,05:51:06 AM,07:54:14 PM,14h 3m 8s
202,07/22/2022,05:51:47 AM,07:53:37 PM,14h 1m 50s
203,07/23/2022,05:52:28 AM,07:52:58 PM,14h 0m 30s
204,07/24/2022,05:53:09 AM,07:52:18 PM,13h 59m 9s
205,07/25/2022,05:53:51 AM,07:51:37 PM,13h 57m 46s
206,07/26/2022,05:54:33 AM,07:50:54 PM,13h 56m 21s
207,07/27/2022,05:55:15 AM,07:50:09 PM,13h 54m 54s
208,07/28/2022,05:55:57 AM,07:49:23 PM,13h 53m 26s
209,07/29/2022,05:56:40 AM,07:48:36 PM,13h 51m 56s
210,07/30/2022,05:57:22 AM,07:47:48 PM,13h 50m 26s
211,07/31/2022,05:58:05 AM,07:46:58 PM,13h 48m 53s
212,08/01/2022,05:58:48 AM,07:46:06 PM,13h 47m 18s
213,08/02/2022,05:59:31 AM,07:45:14 PM,13h 45m 43s
214,08/03/2022,06:00:14 AM,07:44:20 PM,13h 44m 6s
215,08/04/2022,06:00:57 AM,07:43:25 PM,13h 42m 28s
216,08/05/2022,06:01:40 AM,07:42:29 PM,13h 40m 49s
217,08/06/2022,06:02:23 AM,07:41:31 PM,13h 39m 8s
218,08/07/2022,06:03:06 AM,07:40:32 PM,13h 37m 26s
219,08/08/2022,06:03:50 AM,07:39:32 PM,13h 35m 42s
220,08/09/2022,06:04:33 AM,07:38:31 PM,13h 33m 58s
221,08/10/2022,06:05:16 AM,07:37:29 PM,13h 32m 13s
222,08/11/2022,06:05:59 AM,07:36:26 PM,13h 30m 27s
223,08/12/2022,06:06:42 AM,07:35:22 PM,13h 28m 40s
224,08/13/2022,06:07:25 AM,07:34:17 PM,13h 26m 52s
225,08/14/2022,06:08:08 AM,07:33:10 PM,13h 25m 2s
226,08/15/2022,06:08:50 AM,07:32:03 PM,13h 23m 13s
227,08/16/2022,06:09:33 AM,07:30:55 PM,13h 21m 22s
228,08/17/2022,06:10:16 AM,07:29:46 PM,13h 19m 30s
229,08/18/2022,06:10:58 AM,07:28:36 PM,13h 17m 38s
230,08/19/2022,06:11:40 AM,07:27:25 PM,13h 15m 45s
231,08/20/2022,06:12:23 AM,07:26:13 PM,13h 13m 50s
232,08/21/2022,06:13:05 AM,07:25:01 PM,13h 11m 56s
233,08/22/2022,06:13:47 AM,07:23:47 PM,13h 10m 0s
234,08/23/2022,06:14:29 AM,07:22:33 PM,13h 8m 4s
235,08/24/2022,06:15:11 AM,07:21:18 PM,13h 6m 7s
236,08/25/2022,06:15:52 AM,07:20:03 PM,13h 4m 11s
237,08/26/2022,06:16:34 AM,07:18:47 PM,13h 2m 13s
238,08/27/2022,06:17:16 AM,07:17:30 PM,13h 0m 14s
239,08/28/2022,06:17:57 AM,07:16:13 PM,12h 58m 16s
240,08/29/2022,06:18:38 AM,07:14:54 PM,12h 56m 16s
241,08/30/2022,06:19:20 AM,07:13:36 PM,12h 54m 16s
242,08/31/2022,06:20:01 AM,07:12:17 PM,12h 52m 16s
243,09/01/2022,06:20:42 AM,07:10:57 PM,12h 50m 15s
244,09/02/2022,06:21:23 AM,07:09:37 PM,12h 48m 14s
245,09/03/2022,06:22:04 AM,07:08:17 PM,12h 46m 13s
246,09/04/2022,06:22:45 AM,07:06:56 PM,12h 44m 11s
247,09/05/2022,06:23:25 AM,07:05:34 PM,12h 42m 9s
248,09/06/2022,06:24:06 AM,07:04:13 PM,12h 40m 7s
249,09/07/2022,06:24:47 AM,07:02:51 PM,12h 38m 4s
250,09/08/2022,06:25:28 AM,07:01:28 PM,12h 36m 0s
251,09/09/2022,06:26:08 AM,07:00:06 PM,12h 33m 58s
252,09/10/2022,06:26:49 AM,06:58:43 PM,12h 31m 54s
253,09/11/2022,06:27:30 AM,06:57:20 PM,12h 29m 50s
254,09/12/2022,06:28:10 AM,06:55:56 PM,12h 27m 46s
255,09/13/2022,06:28:51 AM,06:54:33 PM,12h 25m 42s
256,09/14/2022,06:29:32 AM,06:53:09 PM,12h 23m 37s
257,09/15/2022,06:30:13 AM,06:51:46 PM,12h 21m 33s
258,09/16/2022,06:30:54 AM,06:50:22 PM,12h 19m 28s
259,09/17/2022,06:31:35 AM,06:48:58 PM,12h 17m 23s
260,09/18/2022,06:32:16 AM,06:47:34 PM,12h 15m 18s
261,09/19/2022,06:32:57 AM,06:46:10 PM,12h 13m 13s
262,09/20/2022,06:33:38 AM,06:44:46 PM,12h 11m 8s
263,09/21/2022,06:34:19 AM,06:43:23 PM,12h 9m 4s
264,09/22/2022,06:35:01 AM,06:41:59 PM,12h 6m 58s
265,09/23/2022,06:35:43 AM,06:40:35 PM,12h 4m 52s
266,09/24/2022,06:36:24 AM,06:39:12 PM,12h 2m 48s
267,09/25/2022,06:37:06 AM,06:37:49 PM,12h 0m 43s
268,09/26/2022,06:37:49 AM,06:36:26 PM,11h 58m 37s
269,09/27/2022,06:38:31 AM,06:35:03 PM,11h 56m 32s
270,09/28/2022,06:39:13 AM,06:33:40 PM,11h 54m 27s
271,09/29/2022,06:39:56 AM,06:32:18 PM,11h 52m 22s
272,09/30/2022,06:40:39 AM,06:30:56 PM,11h 50m 17s
273,10/01/2022,06:41:22 AM,06:29:35 PM,11h 48m 13s
274,10/02/2022,06:42:06 AM,06:28:14 PM,11h 46m 8s
275,10/03/2022,06:42:50 AM,06:26:53 PM,11h 44m 3s
276,10/04/2022,06:43:34 AM,06:25:32 PM,11h 41m 58s
277,10/05/2022,06:44:18 AM,06:24:13 PM,11h 39m 55s
278,10/06/2022,06:45:03 AM,06:22:53 PM,11h 37m 50s
279,10/07/2022,06:45:48 AM,06:21:34 PM,11h 35m 46s
280,10/08/2022,06:46:33 AM,06:20:16 PM,11h 33m 43s
281,10/09/2022,06:47:18 AM,06:18:58 PM,11h 31m 40s
282,10/10/2022,06:48:04 AM,06:17:41 PM,11h 29m 37s
283,10/11/2022,06:48:51 AM,06:16:25 PM,11h 27m 34s
284,10/12/2022,06:49:37 AM,06:15:09 PM,11h 25m 32s
285,10/13/2022,06:50:24 AM,06:13:54 PM,11h 23m 30s
286,10/14/2022,06:51:11 AM,06:12:40 PM,11h 21m 29s
287,10/15/2022,06:51:59 AM,06:11:26 PM,11h 19m 27s
288,10/16/2022,06:52:47 AM,06:10:13 PM,11h 17m 26s
289,10/17/2022,06:53:35 AM,06:09:01 PM,11h 15m 26s
290,10/18/2022,06:54:24 AM,06:07:50 PM,11h 13m 26s
291,10/19/2022,06:55:13 AM,06:06:40 PM,11h 11m 27s
292,10/20/2022,06:56:03 AM,06:05:31 PM,11h 9m 28s
293,10/21/2022,06:56:53 AM,06:04:23 PM,11h 7m 30s
294,10/22/2022,06:57:43 AM,06:03:15 PM,11h 5m 32s
295,10/23/2022,06:58:33 AM,06:02:09 PM,11h 3m 36s
296,10/24/2022,06:59:24 AM,06:01:04 PM,11h 1m 40s
297,10/25/2022,07:00:16 AM,06:00:00 PM,10h 59m 44s
298,10/26/2022,07:01:07 AM,05:58:57 PM,10h 57m 50s
299,10/27/2022,07:02:00 AM,05:57:55 PM,10h 55m 55s
300,10/28/2022,07:02:52 AM,05:56:54 PM,10h 54m 2s
301,10/29/2022,07:03:45 AM,05:55:54 PM,10h 52m 9s
302,10/30/2022,07:04:38 AM,05:54:56 PM,10h 50m 18s
303,10/31/2022,07:05:31 AM,05:53:59 PM,10h 48m 28s
304,11/01/2022,07:06:25 AM,05:53:03 PM,10h 46m 38s
305,11/02/2022,07:07:19 AM,05:52:09 PM,10h 44m 50s
306,11/03/2022,07:08:13 AM,05:51:16 PM,10h 43m 3s
307,11/04/2022,07:09:08 AM,05:50:24 PM,10h 41m 16s
308,11/05/2022,07:10:03 AM,05:49:34 PM,10h 39m 31s
309,11/06/2022,06:11:00 AM,04:48:43 PM,10h 37m 43s
310,11/07/2022,06:11:56 AM,04:47:56 PM,10h 36m 0s
311,11/08/2022,06:12:51 AM,04:47:10 PM,10h 34m 19s
312,11/09/2022,06:13:47 AM,04:46:25 PM,10h 32m 38s
313,11/10/2022,06:14:43 AM,04:45:43 PM,10h 31m 0s
314,11/11/2022,06:15:39 AM,04:45:01 PM,10h 29m 22s
315,11/12/2022,06:16:35 AM,04:44:22 PM,10h 27m 47s
316,11/13/2022,06:17:31 AM,04:43:44 PM,10h 26m 13s
317,11/14/2022,06:18:27 AM,04:43:07 PM,10h 24m 40s
318,11/15/2022,06:19:23 AM,04:42:33 PM,10h 23m 10s
319,11/16/2022,06:20:19 AM,04:42:00 PM,10h 21m 41s
320,11/17/2022,06:21:15 AM,04:41:29 PM,10h 20m 14s
321,11/18/2022,06:22:11 AM,04:40:59 PM,10h 18m 48s
322,11/19/2022,06:23:07 AM,04:40:31 PM,10h 17m 24s
323,11/20/2022,06:24:03 AM,04:40:05 PM,10h 16m 2s
324,11/21/2022,06:24:59 AM,04:39:41 PM,10h 14m 42s
325,11/22/2022,06:25:54 AM,04:39:19 PM,10h 13m 25s
326,11/23/2022,06:26:49 AM,04:38:58 PM,10h 12m 9s
327,11/24/2022,06:27:44 AM,04:38:39 PM,10h 10m 55s
328,11/25/2022,06:28:38 AM,04:38:22 PM,10h 9m 44s
329,11/26/2022,06:29:32 AM,04:38:07 PM,10h 8m 35s
330,11/27/2022,06:30:26 AM,04:37:54 PM,10h 7m 28s
331,11/28/2022,06:31:19 AM,04:37:43 PM,10h 6m 24s
332,11/29/2022,06:32:11 AM,04:37:34 PM,10h 5m 23s
333,11/30/2022,06:33:03 AM,04:37:26 PM,10h 4m 23s
334,12/01/2022,06:33:55 AM,04:37:20 PM,10h 3m 25s
335,12/02/2022,06:34:46 AM,04:37:17 PM,10h 2m 31s
336,12/03/2022,06:35:36 AM,04:37:15 PM,10h 1m 39s
337,12/04/2022,06:36:25 AM,04:37:15 PM,10h 0m 50s
338,12/05/2022,06:37:13 AM,04:37:17 PM,10h 0m 4s
339,12/06/2022,06:38:01 AM,04:37:21 PM,9h 59m 20s
340,12/07/2022,06:38:47 AM,04:37:27 PM,9h 58m 40s
341,12/08/2022,06:39:33 AM,04:37:34 PM,9h 58m 1s
342,12/09/2022,06:40:18 AM,04:37:44 PM,9h 57m 26s
343,12/10/2022,06:41:02 AM,04:37:55 PM,9h 56m 53s
344,12/11/2022,06:41:44 AM,04:38:08 PM,9h 56m 24s
345,12/12/2022,06:42:26 AM,04:38:23 PM,9h 55m 57s
346,12/13/2022,06:43:06 AM,04:38:40 PM,9h 55m 34s
347,12/14/2022,06:43:45 AM,04:38:58 PM,9h 55m 13s
348,12/15/2022,06:44:23 AM,04:39:19 PM,9h 54m 56s
349,12/16/2022,06:45:00 AM,04:39:41 PM,9h 54m 41s
350,12/17/2022,06:45:35 AM,04:40:04 PM,9h 54m 29s
351,12/18/2022,06:46:09 AM,04:40:30 PM,9h 54m 21s
352,12/19/2022,06:46:41 AM,04:40:57 PM,9h 54m 16s
353,12/20/2022,06:47:12 AM,04:41:25 PM,9h 54m 13s
354,12/21/2022,06:47:41 AM,04:41:56 PM,9h 54m 15s
355,12/22/2022,06:48:09 AM,04:42:28 PM,9h 54m 19s
356,12/23/2022,06:48:35 AM,04:43:01 PM,9h 54m 26s
357,12/24/2022,06:49:00 AM,04:43:36 PM,9h 54m 36s
358,12/25/2022,06:49:23 AM,04:44:12 PM,9h 54m 49s
359,12/26/2022,06:49:45 AM,04:44:49 PM,9h 55m 4s
360,12/27/2022,06:50:05 AM,04:45:28 PM,9h 55m 23s
361,12/28/2022,06:50:23 AM,04:46:09 PM,9h 55m 46s
362,12/29/2022,06:50:39 AM,04:46:50 PM,9h 56m 11s
363,12/30/2022,06:50:54 AM,04:47:33 PM,9h 56m 39s
364,12/31/2022,06:51:06 AM,04:48:17 PM,9h 57m 11s
