Date,Daylength in decimal hours
2022-04-22,13.3
2022-04-23,13.33
2022-04-24,13.36
2022-04-25,13.39
2022-04-26,13.42
2022-04-27,13.45
2022-04-28,13.48
2022-04-29,13.51
2022-04-30,13.54
2022-05-01,13.57
2022-05-02,13.6
2022-05-03,13.63
2022-05-04,13.66
2022-05-05,13.69
2022-05-06,13.71
2022-05-07,13.74
2022-05-08,13.77
2022-05-09,13.8
2022-05-10,13.82
2022-05-11,13.85
2022-05-12,13.87
2022-05-13,13.9
2022-05-14,13.92
2022-05-15,13.95
2022-05-16,13.97
2022-05-17,13.99
2022-05-18,14.02
2022-05-19,14.04
2022-05-20,14.06
2022-05-21,14.08
2022-05-22,14.1
2022-05-23,14.12
2022-05-24,14.14
2022-05-25,14.16
2022-05-26,14.18
2022-05-27,14.2
2022-05-28,14.21
2022-05-29,14.23
2022-05-30,14.24
2022-05-31,14.26
2022-06-01,14.27
2022-06-02,14.29
2022-06-03,14.3
2022-06-04,14.31
2022-06-05,14.32
2022-06-06,14.33
2022-06-07,14.34
2022-06-08,14.35
2022-06-09,14.36
2022-06-10,14.37
2022-06-11,14.38
2022-06-12,14.38
2022-06-13,14.39
2022-06-14,14.39
2022-06-15,14.4
2022-06-16,14.4
2022-06-17,14.4
2022-06-18,14.41
2022-06-19,14.41
2022-06-20,14.41
2022-06-21,14.41
2022-06-22,14.41
2022-06-23,14.4
2022-06-24,14.4
2022-06-25,14.4
2022-06-26,14.39
2022-06-27,14.39
2022-06-28,14.38
2022-06-29,14.37
2022-06-30,14.37
2022-07-01,14.36
2022-07-02,14.35
2022-07-03,14.34
2022-07-04,14.33
2022-07-05,14.32
2022-07-06,14.31
2022-07-07,14.29
2022-07-08,14.28
2022-07-09,14.27
2022-07-10,14.25
2022-07-11,14.24
2022-07-12,14.22
2022-07-13,14.21
2022-07-14,14.19
2022-07-15,14.17
2022-07-16,14.15
2022-07-17,14.13
2022-07-18,14.11
2022-07-19,14.09
2022-07-20,14.07
2022-07-21,14.05
2022-07-22,14.03
2022-07-23,14.01
2022-07-24,13.99
2022-07-25,13.96
2022-07-26,13.94
2022-07-27,13.92
2022-07-28,13.89
2022-07-29,13.87
2022-07-30,13.84
2022-07-31,13.81
2022-08-01,13.79
2022-08-02,13.76
2022-08-03,13.73
2022-08-04,13.71
2022-08-05,13.68
2022-08-06,13.65
2022-08-07,13.62
2022-08-08,13.6
2022-08-09,13.57
2022-08-10,13.54
2022-08-11,13.51
2022-08-12,13.48
2022-08-13,13.45
2022-08-14,13.42
2022-08-15,13.39
2022-08-16,13.36
2022-08-17,13.32
2022-08-18,13.29
2022-08-19,13.26
2022-08-20,13.23
2022-08-21,13.2
2022-08-22,13.17
2022-08-23,13.13
2022-08-24,13.1
2022-08-25,13.07
2022-08-26,13.04
2022-08-27,13.0
2022-08-28,12.97
2022-08-29,12.94
2022-08-30,12.9
2022-08-31,12.87
2022-09-01,12.84
2022-09-02,12.8
2022-09-03,12.77
2022-09-04,12.74
2022-09-05,12.7
2022-09-06,12.67
2022-09-07,12.63
2022-09-08,12.6
2022-09-09,12.57
2022-09-10,12.53
2022-09-11,12.5
2022-09-12,12.46
2022-09-13,12.43
2022-09-14,12.39
2022-09-15,12.36
2022-09-16,12.32
2022-09-17,12.29
2022-09-18,12.26
2022-09-19,12.22
2022-09-20,12.19
2022-09-21,12.15
2022-09-22,12.12
2022-09-23,12.08
2022-09-24,12.05
2022-09-25,12.01
2022-09-26,11.98
2022-09-27,11.94
2022-09-28,11.91
2022-09-29,11.87
2022-09-30,11.84
2022-10-01,11.8
2022-10-02,11.77
2022-10-03,11.73
2022-10-04,11.7
2022-10-05,11.67
2022-10-06,11.63
2022-10-07,11.6
2022-10-08,11.56
2022-10-09,11.53
2022-10-10,11.49
2022-10-11,11.46
2022-10-12,11.43
2022-10-13,11.39
2022-10-14,11.36
2022-10-15,11.32
2022-10-16,11.29
2022-10-17,11.26
2022-10-18,11.22
2022-10-19,11.19
2022-10-20,11.16
2022-10-21,11.12
2022-10-22,11.09
2022-10-23,11.06
2022-10-24,11.03
2022-10-25,11.0
2022-10-26,10.96
2022-10-27,10.93
2022-10-28,10.9
2022-10-29,10.87
2022-10-30,10.84
2022-10-31,10.81
2022-11-01,10.78
2022-11-02,10.75
2022-11-03,10.72
2022-11-04,10.69
2022-11-05,10.66
2022-11-06,10.63
2022-11-07,10.6
2022-11-08,10.57
2022-11-09,10.54
2022-11-10,10.52
2022-11-11,10.49
2022-11-12,10.46
2022-11-13,10.44
2022-11-14,10.41
2022-11-15,10.39
2022-11-16,10.36
2022-11-17,10.34
